Column1;text;iab_t1;classification_google;correct
168;Een ondernemende moeder-in-spe heeft besloten om in haar stamkroeg te bevallen zodat haar vriend ook bij de geboorte kan zijn. “Het gaat niet alleen om zijn aanwezigheid, de bitterballen zijn hier ook super lekker”, aldus de zwangere Sara (27), terwijl ze haar frustratie uit over ziekenhuizen die partners maar voor een deel van de bevalling toelaten in de verloskamer. “Als de toegang hem wordt ontzegd terwijl hij volledig gevaccineerd is en het ministerie van Volksgezondheid wel de kroegen open gooit dan is De Gelaarsde Kater hier om de boek nu mijn officiële bevallingsbad” zegt Sara. Vriend Johan (29) is in zijn nopjes met haar beslissing. “Stel je voor dat er iets gebeurt tijdens de bevalling en dat Sara mij nodig heeft maar er niet voor haar kan zijn omdat ik weg moet omdat ik “hinderlijk aanwezig” ben in de verloskamer. Dat zal nu niet gebeuren, want barman Stef kent ons al jaren en heeft me net op het hart gedrukt dat ik mag blijven als ik maar een negatieve test kan laten zien” vertelt Johan. Sara is een voorbeeld van een steeds groter wordende groep zwangere vrouwen op zoek naar alternatieve locaties om te bevallen zodat hun partners erbij kunnen zijn, zoals bioscopen, hotels, sportscholen, winkels, en de Apenheul. ;Hobbies & Interests;"[""/Arts & Entertainment"", ""/Health/Reproductive Health"", ""/People & Society""]";0
245;Duitsland zit ook in een strenge lockdown en tijdens oud en nieuw gold er ook een vuurwerkverbod. En het luisteren naar de overheid zit nog steeds heel diep ingebakken in het Duitse bloed. Bewijs in deze video gemaakt op de grens tussen Polen en Duitsland. Terwijl de Polen flink aan het afsteken zijn, is het rustig in Duistland. Niet overal in Duitsland trouwens, want er gaan ook beelden rond uit Berlijn en dat is gewoon een normale avond in Veen in december.;Hobbies & Interests;"[""/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events""]";0
3;Na een ruzie op het Spaanse eiland Ibiza, zou Lil Kleine zijn verloofde Jaimie Vaes mishandeld hebben. De rapper heeft die beruchte avond in mei doorgebracht in de gevangenis van Ibiza, maar wat er precies gebeurd is weet eigenlijk niemand. In de nieuwste aflevering van Jaimie haar realityserie vertelt Jaimie Vaes meer over de enorme klap die ze die avond te verwerken kreeg. Tekst gaat verder onder de video. De bewuste avond In een nieuwe aflevering van In The Vaes Lane vertelt Jaimie dat ze nog altijd baalt van die bewuste avond in Ibiza. We weten inmiddels dat het koppel weer samen door het leven gaat, op Instagram plaatste Kleine een foto met Jaimie samen. Ook het huwelijk is nog niet van de baan. Het tweede seizoen van Jaimie: In The Vaes Lane is te zien op Discovery+. Bekijk het fragment uit RTL Boulevard hierboven. ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
22;Vanaf maandag 3 mei is op SBS6 het gloednieuwe programma Ik neem je mee te zien. Hierin nemen zeven bekende SBS-gezichten plaats achter het stuur, om als privéchauffeurs op pad te gaan met doodgewone Nederlanders die een speciale gebeurtenis te wachten staat. Ik neem je mee gemist? Kijk vanaf maandag 3 meiVerhaal Wat het verhaal van deze Nederlanders ook is, de autorit staat voor deze personen zelf in het teken van een belangrijke en grote mijlpaal in hun leven. De bekende privéchauffeurs (Jeroen van der Boom, Britt Dekker, Wendy van Dijk, Dennis van der Geest, Winston Gerschtanowitz, Gordon en Johnny de Mol) rijden, luisteren en proberen het de rit van hun leven te maken. Kinderziekenhuis Bovendien mogen de Nederlanders zelf kiezen bij wie ze in de auto stappen. Zo neemt Johnny de Mol een tienjarig meisje mee naar het kinderziekenhuis voor een belangrijke dag, om na afloop klaar te staan met een geweldige verrassing. En Wendy van Dijk zoekt samen met een aanstaande bruid de trouwjurk van haar dromen uit. Het nieuwe programma Ik neem je mee is vanaf maandag 3 mei wekelijksJe kunt vanaf dan elke aflevering van Ik neem je meeGeef hieronder je commentaar op Nieuw programma Ik neem je mee vanaf maandag 3 mei te zien op SBS6 of klik hier als je dit een leuk artikel vindt: ;Hobbies & Interests;"[""/Hobbies & Leisure"", ""/People & Society/Family & Relationships/Marriage"", ""/Arts & Entertainment""]";1
27;1:54 tot 22:55 - Genre - Amusement, Reality - Presentatie - Jochem van Gelder - Deel-url - gids.tv/26700084 Seizoen 2 - Aflevering 5 Realityserie waarin Jochem van Gelder Nederlandse hulpverleners volgt die automobilisten helpen die met pech langs de weg zijn beland. Per jaar worden er meer dan een miljoen mensen met autopech geholpen door deze professionals. Jochem laat zien wie deze mensen zijn. En hoe ze hun vakmanschap en vindingrijkheid gebruiken om mensen te helpen die zo snel mogelijk weer de weg op willen.Meer op tv: Muziek op tv , Voetbal op tv en Arsenal op tv ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
32;Beschrijving Batavus Genova E-go. Lage instap 53 cm Accu B-300. De fiets is nieuw gekocht in maart 2018 en is in prima staat. Er is ongeveer slechts 1500 km mee gereden. Op de aankoop bon staat dat de accu goed is voor 108 km, maar in de praktijk gaat hij niet langer mee dan ongeveer 35 km. Dat is ook de reden dat ik hem weg wil doen. Deze accu is zoals alle andere 300 accus op welk merk fiets dan ook, niet geschikt voor lange ritten, maar ideaal als stadsfiets en voor school of werk. Hij rijdt wel heel fijn. De fiets heeft 7 versellingen - Merk: Batavus - Framehoogte: 53cm - Maximale Afstand Accu: 35km 1 advertentie 8Vliss;Hobbies & Interests;"[""/Hobbies & Leisure"", ""/Sports/Individual Sports/Cycling"", ""/Sports/Sporting Goods"", ""/Autos & Vehicles/Bicycles & Accessories""]";1
40;Dit programma is inmiddels afgelopen. Heb je de uitzending van Het Uur van de Wolf: Golden Earring, Making Tits n Ass gemist? Bekijk hier naar Het Uur van de Wolf: Golden Earring, Making Tits n Ass gemist. ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
43;"Het is Bauke Mollema die gisteren de ritzege pakt tijdens etappe 14 van de Tour de France en zijn familie is supertrots op hem: ""Papa, papa, papa"", zeggen de kinderen voor de televisie. Bekijk de leuke beelden die Bauke zelf op Instagram deelt hieronder. ";Hobbies & Interests;"[""/Arts & Entertainment""]";1
48;Hieronder zie je een fragment uit de uitzending van Humberto van vrijdag 30 juli. Je kunt ook de hele uitzending van Humberto terugkijken via Gids.tv. De roeisters van het Nederlands Olympisch team waren gisteravond te gast bij Humberto om te praten over hun mooie prestaties op de Olympische Spelen in Tokio. Ellen Hogerwerf, Karolien Florijn, Ymkje Clevering, Veronique Meester, Lisa Scheenaard, Roos de Jong, Ilse Paulis en Marieke Keijser schoven allemaal aan. Genoeg te bepraten dus! Bekijk het fragment van Humberto hierboven. Je kunt de beste fragmenten en alle uitzendingen van Humberto terugkijken bij Gids.tv. ;Hobbies & Interests;"[""/Arts & Entertainment""]";1
63;"Morgen - Comedy, Film, Les animaux aussi ont le droit dêtre les vedettes de lactualité ! Rémy, un petit personnage de dessin animé, présente le journal télévisé. À chaque épisode, il répond aux questions de ses téléspectateurs, pour ... Morgen - Comedy, Film, Elles sont trois jeunes femmes venues dhorizons différents. Si Eden et Maya sont superbes. Anissa, elle, souffre dobésité naissante. La première cesse de &quot;michetonner&quot;, la seconde continue, Anissa aurait bien ... Morgen - Film, Lors dune fête étudiante, Mariam, jeune Tunisienne, croise le regard de Youssef. Quelques heures plus tard, Mariam erre dans la rue en état de choc. Commence pour elle une longue nuit durant laquelle elle va devoir lutter pour le ... ";Hobbies & Interests;"[""/Arts & Entertainment/Humor"", ""/Arts & Entertainment/Comics & Animation/Cartoons""]";1
